PMID 	 FT_ID 	 PUBYEAR 	 PUB_DATE 	 RESEARCH_ARTICLE_YES_NO 	 AVAILABILITY_STATUS 	 FIRST_PUBLISH_DATE
null 	 PMC10993320 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-21 00:00:00
null 	 PMC10993323 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993324 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-19 00:00:00
null 	 PMC10993354 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993329 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-21 00:00:00
null 	 PMC10993352 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-20 00:00:00
null 	 PMC10993362 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-18 00:00:00
null 	 PMC10993370 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-19 00:00:00
null 	 PMC10993371 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-23 00:00:00
null 	 PMC10993382 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-20 00:00:00
null 	 PMC10993374 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-20 00:00:00
null 	 PMC10993376 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10993383 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-25 00:00:00
null 	 PMC10993386 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-18 00:00:00
null 	 PMC10993377 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-19 00:00:00
null 	 PMC10993403 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-20 00:00:00
null 	 PMC10993405 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-18 00:00:00
null 	 PMC10993562 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993598 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10993605 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC5310681 	 1962 	 01/01/1962 	 Y 	 O 	 1962-01-01 00:00:00
null 	 PMC5312816 	 1962 	 01/01/1962 	 Y 	 O 	 1962-01-01 00:00:00
null 	 PMC5315334 	 1962 	 01/01/1962 	 Y 	 O 	 1962-01-01 00:00:00
null 	 PMC5315337 	 1962 	 01/01/1962 	 Y 	 O 	 1962-01-01 00:00:00
null 	 PMC5312812 	 1962 	 01/01/1962 	 Y 	 O 	 1962-01-01 00:00:00
null 	 PMC5324962 	 1962 	 01/01/1962 	 Y 	 O 	 1962-01-01 00:00:00
null 	 PMC5327740 	 1962 	 01/01/1962 	 Y 	 O 	 1962-01-01 00:00:00
null 	 PMC5327741 	 1962 	 01/01/1962 	 Y 	 O 	 1962-01-01 00:00:00
null 	 PMC10998392 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998445 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998430 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998453 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998505 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998452 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998516 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
null 	 PMC10998537 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998549 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-20 00:00:00
null 	 PMC10998654 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:40:46
null 	 PMC10998135 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-22 00:00:00
null 	 PMC10998189 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-27 00:00:00
null 	 PMC10998194 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-06 00:00:00
null 	 PMC10998184 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-29 00:00:00
null 	 PMC10998134 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-22 00:00:00
null 	 PMC10998183 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-30 00:00:00
null 	 PMC10998188 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-27 00:00:00
null 	 PMC10998145 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-27 00:00:00
null 	 PMC10998187 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-25 00:00:00
null 	 PMC10998133 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-28 00:00:00
null 	 PMC10998210 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-27 00:00:00
null 	 PMC10998218 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-25 00:00:00
null 	 PMC10998193 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-29 00:00:00
null 	 PMC10998222 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-13 00:00:00
null 	 PMC10998148 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-19 00:00:00
null 	 PMC10998202 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-29 00:00:00
null 	 PMC10998228 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-29 00:00:00
null 	 PMC10998217 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-09 00:00:00
null 	 PMC10998250 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998254 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998256 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998259 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:39:39
null 	 PMC10998257 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998261 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:39:41
null 	 PMC10998235 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-27 00:00:00
null 	 PMC10998223 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-01 00:00:00
null 	 PMC10998272 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-27 00:00:00
null 	 PMC10998232 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-28 00:00:00
null 	 PMC10998281 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-15 00:00:00
null 	 PMC10998273 	 2024 	 01/02/2024 	 Y 	 O 	 2024-02-22 00:00:00
null 	 PMC10998286 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-13 00:00:00
null 	 PMC10998305 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998313 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998318 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998239 	 2024 	 01/03/2024 	 Y 	 O 	 2024-03-23 00:00:00
null 	 PMC10998349 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998347 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998388 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998407 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998451 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998474 	 null 	 09/04/2024 	 Y 	 O 	 2024-04-09 03:40:37
null 	 PMC10998489 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998492 	 2024 	 01/01/2024 	 Y 	 O 	 2024-01-01 00:00:00
null 	 PMC10998526 	 2024 	 01/04/2024 	 Y 	 O 	 2024-04-01 00:00:00
